Velocity	Growth Rate	Error in Growth Rate
0.0	0.2908390214491526	0.1701377891173965
1.0	0.19381156177928538	0.09472312248140338
2.0	0.03522474048140991	0.04774578189377872
3.0	0.14062204147791108	0.04909634990374344
4.0	0.04686109797113385	0.01653572517946186
5.0	0.09509803287506813	0.07020188333747181
6.0	0.2030613136716039	0.19712746267402498
7.0	-0.07206043170967096	0.3387125605352487
8.0	0.3811535491624232	0.4584022848645918
9.0	0.11638224610499773	0.026505731282174642
10.0	0.1163887784221654	0.09205143874534923
11.0	0.15581290178790114	0.05244282976596955
12.0	0.08082965217789773	0.03112740797872103
13.0	0.4222931802255808	4.930614879472406
14.0	0.2586264823029116	0.3339200562299322
15.0	0.04441551889674809	0.05728696975330846
16.0	0.14432632384727243	0.06325536899419851
17.0	0.3843404755611299	0.3702107629415168
